date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-23,,,,,,,,,125,50,150,125,50,150,125,50,150,2.08569336366
2020-02-24,,,,,,,,,125,50,150,250,100,300,250,100,300,2.06893243195
2020-02-25,,,,,,,,,125,50,150,376,150,450,376,150,450,2.06522682028
2020-02-26,,,,,,,,,125,50,150,501,200,600,501,200,600,2.06069843788
2020-02-27,,,,,,,,,125,50,150,626,250,750,626,250,750,2.05516074133
2020-02-28,,,,,,,,,125,50,150,751,300,900,751,300,900,2.04838201839
2020-02-29,,,,,,,,,125,50,150,877,350,1050,877,350,1050,2.0400730863
2020-03-01,,,,,,,,,125,50,150,1002,400,1200,1002,400,1200,2.02987179741
2020-03-02,,,,,,,,,125,50,150,1127,450,1350,1127,450,1350,2.01732475834
2020-03-03,,,,,,,,,371,159,520,1498,609,1870,1498,609,1870,2.00169960778
2020-03-04,,,,,,,,,367,159,509,1866,769,2379,1866,769,2379,1.98262987048
2020-03-05,,,,,,,,,387,170,540,2253,939,2918,2253,939,2918,1.95912389145
2020-03-06,,,,,,,,,429,194,616,2682,1134,3533,2682,1134,3533,1.93035377155
2020-03-07,,,,,,,,,516,242,772,3199,1376,4305,3199,1376,4305,1.89547530101
2020-03-08,,,,,,,,,648,318,1007,3847,1695,5311,3847,1695,5311,1.85383579825
2020-03-09,,,,,,,,,741,379,1177,4463,2024,6338,4588,2074,6488,1.80515654535
2020-03-10,,,,,,,,,813,437,1291,5150,2412,7479,5400,2512,7779,1.74968753356
2020-03-11,,,,,,,,,892,504,1393,5917,2866,8722,6293,3016,9172,1.68827407865
2020-03-12,,,,,,,,,981,581,1494,6773,3398,10065,7274,3598,10665,1.62227644302
2020-03-13,,,,,,,,,1083,664,1626,7731,4012,11541,8357,4262,12291,1.55341363072
2020-03-14,,,,,,,,,1172,706,1804,8777,4668,13195,9528,4968,14095,1.48357646814
2020-03-15,,,,,,,,,1243,782,1855,9895,5400,14900,10771,5750,15950,1.4146524953
2020-03-16,,,,,,,,,1304,826,1912,11074,6176,16661,12076,6576,17861,1.34840009927
2020-03-17,,,,,,,,,1361,888,1962,12309,7015,18472,13436,7465,19822,1.28635817194
2020-03-18,,,,,,,,,1413,934,2017,13351,7790,19969,14849,8400,21839,1.22977810832
2020-03-19,4,4,,,,,,,1458,955,2083,14441,8586,21543,16307,9355,23921,1.1795567718
2020-03-20,-1,3,,,,,,,1493,997,2123,15546,9413,23126,17800,10353,26044,1.13616972692
2020-03-21,1,4,,,,,,,1520,1014,2148,16637,10234,24658,19319,11368,28191,1.09963546395
2020-03-22,0,4,,,,,,,1542,1034,2177,17663,11025,26064,20861,12402,30368,1.06954876102
2020-03-23,1,5,,,,,,,1561,1053,2198,18575,11761,27255,22422,13456,32565,1.04519386245
2020-03-24,0,5,,,,,,,1577,1076,2193,19412,12457,28270,24000,14532,34758,1.02570108463
2020-03-25,2,7,,,,,,,1590,1096,2176,20190,13117,29155,25590,15629,36933,1.01019027456
2020-03-26,3,10,,,,,,,1600,1116,2180,20898,13729,29942,27190,16745,39113,0.997865227317
2020-03-27,4,14,,,,,,,1608,1134,2182,21524,14281,30630,28798,17879,41294,0.988055385402
2020-03-28,3,17,,,,,,,1614,1151,2180,22055,14768,31183,30412,19030,43473,0.980220329971
2020-03-29,1,18,,,,,,,1619,1162,2172,22503,15224,31551,32031,20193,45645,0.973935226381
2020-03-30,2,20,,,,,,,1622,1179,2163,22882,15621,31858,33653,21372,47807,0.968870011422
2020-03-31,5,25,,,,,,,1625,1187,2148,23202,15982,32094,35278,22559,49954,0.964769087694
2020-04-01,2,27,,,,,,,1626,1194,2132,23468,16288,32264,36904,23754,52086,0.961434139919
2020-04-02,11,38,,,,,,,1626,1201,2116,23681,16555,32364,38530,24955,54202,0.958710550173
2020-04-03,13,51,,,,,,,1626,1208,2102,23849,16808,32382,40156,26163,56303,0.956477030002
2020-04-04,3,54,,,,,,,1625,1218,2091,23982,17028,32350,41782,27382,58393,0.954637833061
2020-04-05,20,74,,,,,,,1624,1221,2080,24086,17235,32283,43405,28604,60473,0.953116931918
2020-04-06,4,78,,,,,,,1622,1233,2070,24166,17434,32175,45027,29837,62542,0.9518536459
2020-04-07,14,92,,,,,,,1620,1244,2058,24225,17625,32035,46647,31081,64600,0.950799328311
2020-04-08,8,100,,,,,,,1617,1250,2043,24264,17800,31885,48264,32332,66643,0.949914832228
2020-04-09,11,111,,,,,,,1614,1254,2015,24288,17957,31725,49878,33587,68657,0.949168555214
2020-04-10,17,128,,,,,,,1610,1258,2011,24297,18100,31556,51488,34845,70668,0.948534919324
2020-04-11,9,137,,,,,,,1606,1261,2007,24296,18228,31381,53094,36107,72675,0.947993180354
2020-04-12,7,144,,,,,,,1602,1264,2000,24284,18341,31202,54697,37372,74675,0.947526487071
2020-04-13,10,154,,,,,,,1598,1273,1988,24263,18452,31018,56295,38645,76662,0.947121132478
2020-04-14,16,170,,,,,,,1593,1273,1976,24234,18547,30832,57888,39919,78638,0.94676595479
2020-04-15,13,183,,,,,,,1588,1270,1964,24198,18630,30647,59476,41190,80601,0.946451856681
2020-04-16,14,197,,,,,,,1583,1271,1951,24156,18707,30466,61059,42461,82551,0.946171418435
2020-04-17,9,206,,,,,,,1578,1267,1938,24107,18772,30288,62637,43728,84489,0.945918585669
2020-04-18,6,212,,,,,,,1572,1265,1925,24053,18830,30112,64209,44994,86414,0.945688416363
2020-04-19,8,220,,,,,,,1566,1265,1912,23994,18878,29933,65776,46260,88326,0.945476875407
2020-04-20,10,230,,,,,,,1560,1257,1902,23930,18913,29755,67336,47517,90228,0.945280667547
2020-04-21,14,244,,,,,,,1554,1248,1910,23862,18928,29596,68889,48766,92137,0.945097101482
2020-04-22,4,248,,,,,,,1547,1247,1904,23790,18931,29441,70437,50013,94041,0.944909338602
2020-04-23,10,258,,,,,,,1540,1234,1898,23713,18914,29297,71977,51247,95939,0.944732778379
2020-04-24,5,263,,,,,,,1534,1221,1891,23633,18881,29173,73511,52468,97829,0.944568686316
2020-04-25,3,266,,,,,,,1526,1206,1886,23549,18829,29047,75037,53675,99714,0.944417387801
2020-04-26,6,272,,,,,,,1519,1196,1869,23462,18763,28909,76556,54871,101583,0.944278131693
2020-04-27,9,281,,,,,,,1511,1182,1856,23371,18681,28765,78068,56053,103439,0.944149642374
2020-04-28,19,300,,,,,,,1504,1167,1843,23277,18574,28619,79571,57220,105281,0.944038309615
2020-04-29,8,308,,,,,,,1496,1152,1841,23179,18453,28484,81067,58373,107121,0.943930575838
2020-04-30,8,316,,,,,,,1488,1137,1840,23079,18320,28361,82555,59510,108961,0.94382712088
2020-05-01,11,327,,,,,,,1480,1125,1833,22975,18175,28243,84035,60636,110793,0.943728772148
2020-05-02,7,334,,,,,,,1471,1117,1833,22869,18026,28137,85506,61754,112626,0.943636534843
2020-05-03,5,339,,,,,,,1463,1104,1828,22759,17864,28040,86968,62859,114453,0.943551630924
2020-05-04,1,340,,,,,,,1454,1089,1828,22647,17687,27955,88422,63948,116281,0.943475546359
2020-05-05,13,353,,,,,,,1445,1072,1827,22531,17503,27879,89867,65020,118107,0.943410088296
2020-05-06,9,362,,,,,,,1436,1055,1832,22413,17310,27801,91303,66076,119938,0.943357454447
2020-05-07,12,374,,,,,,,1427,1038,1832,22293,17101,27729,92729,67114,121769,0.943320316542
2020-05-08,10,384,,,,,,,1417,1021,1833,22170,16887,27663,94147,68135,123602,0.943301920881
2020-05-09,14,398,,,,,,,1408,1004,1837,22044,16671,27609,95555,69140,125438,0.943306209163
2020-05-10,2,400,,,,,,,1398,987,1840,21916,16452,27563,96953,70127,127277,0.943337962943
2020-05-11,9,409,,,,,,,1389,971,1843,21786,16227,27537,98342,71099,129120,0.943402975595
2020-05-12,9,418,,,,,,,1379,956,1846,21653,16002,27527,99721,72055,130965,0.943508255593
2020-05-13,3,421,,,,,,,1369,942,1848,21518,15777,27532,101090,72997,132812,0.943662264972
2020-05-14,13,434,,,,,,,1359,927,1850,21382,15552,27541,102449,73925,134662,0.943875196222
2020-05-15,11,445,,,,,,,1349,913,1852,21244,15328,27552,103799,74839,136513,0.94415928961
2020-05-16,8,453,,,,,,,1340,899,1853,21104,15102,27573,105138,75739,138366,0.944529190511
