date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper
2020-03-03,,,,,,,,
2020-03-04,,,,,,,,
2020-03-05,,,,,,,,
2020-03-06,,,,,,,,
2020-03-07,,,,,,,,
2020-03-08,,,,,,,,
2020-03-09,,,,,,,,
2020-03-10,,,,,,,,
2020-03-11,,,,,,,,
2020-03-12,,,,,,,,
2020-03-13,,,,,,,,
2020-03-14,,,,,,,,
2020-03-15,,,,,,,,
2020-03-16,,,,,,,,
2020-03-17,,,,,,,,
2020-03-18,,,,,,,,
2020-03-19,,,,,,,,
2020-03-20,,,,,,,,
2020-03-21,,,,,,,,
2020-03-22,,,,,,,,
2020-03-23,,,,,,,,
2020-03-24,,,,,,,,
2020-03-25,2,2,,,,,,
2020-03-26,1,3,,,,,,
2020-03-27,0,3,,,,,,
2020-03-28,2,5,,,,,,
2020-03-29,1,6,,,,,,
2020-03-30,1,7,,,,,,
2020-03-31,1,8,,,,,,
2020-04-01,2,10,,,,,,
2020-04-02,2,12,,,,,,
2020-04-03,0,12,,,,,,
2020-04-04,2,14,,,,,,
2020-04-05,2,16,,,,,,
2020-04-06,0,16,,,,,,
2020-04-07,,,1,1,2,17,17,18
2020-04-08,,,1,1,2,18,18,20
2020-04-09,,,1,1,2,19,19,22
2020-04-10,,,1,1,2,20,20,24
2020-04-11,,,1,0,2,21,20,26
2020-04-12,,,1,0,2,22,20,28
2020-04-13,,,1,0,2,23,20,30
2020-04-14,,,1,0,2,24,20,32
2020-04-15,,,1,0,2,25,20,34
2020-04-16,,,1,0,1,26,20,35
2020-04-17,,,1,0,1,27,20,36
2020-04-18,,,1,0,1,28,20,37
2020-04-19,,,1,0,1,28,20,38
2020-04-20,,,1,0,1,29,20,39
2020-04-21,,,1,0,1,29,20,40
2020-04-22,,,1,0,1,30,20,41
2020-04-23,,,1,0,1,30,20,42
2020-04-24,,,0,0,1,31,20,43
2020-04-25,,,0,0,1,31,20,44
2020-04-26,,,0,0,1,32,20,45
2020-04-27,,,0,0,1,32,20,46
2020-04-28,,,0,0,1,33,20,47
2020-04-29,,,0,0,1,33,20,48
2020-04-30,,,0,0,1,34,20,49
2020-05-01,,,0,0,1,34,20,50
2020-05-02,,,0,0,1,34,20,51
2020-05-03,,,0,0,1,34,20,52
2020-05-04,,,0,0,1,35,20,53
2020-05-05,,,0,0,1,35,20,54
2020-05-06,,,0,0,1,35,20,55
2020-05-07,,,0,0,1,36,20,56
2020-05-08,,,0,0,1,36,20,57
2020-05-09,,,0,0,1,36,20,58
2020-05-10,,,0,0,1,36,20,59
2020-05-11,,,0,0,1,36,20,60
2020-05-12,,,0,0,1,37,20,61
2020-05-13,,,0,0,1,37,20,62
2020-05-14,,,0,0,1,37,20,63
2020-05-15,,,0,0,1,37,20,64
2020-05-16,,,0,0,1,38,20,65
2020-05-17,,,0,0,1,38,20,66
2020-05-18,,,0,0,1,38,20,67
2020-05-19,,,0,0,1,38,20,68
2020-05-20,,,0,0,1,38,20,69
2020-05-21,,,0,0,1,39,20,70
2020-05-22,,,0,0,1,39,20,71
2020-05-23,,,0,0,0,39,20,71
2020-05-24,,,0,0,0,39,20,71
2020-05-25,,,0,0,0,39,20,71
2020-05-26,,,0,0,0,39,20,71
2020-05-27,,,0,0,0,39,20,71
2020-05-28,,,0,0,0,39,20,71
2020-05-29,,,0,0,0,39,20,71
2020-05-30,,,0,0,0,39,20,71
2020-05-31,,,0,0,0,39,20,71
2020-06-01,,,0,0,0,39,20,71
2020-06-02,,,0,0,0,39,20,71
2020-06-03,,,0,0,0,39,20,71
2020-06-04,,,0,0,0,39,20,71
2020-06-05,,,0,0,0,39,20,71
2020-06-06,,,0,0,0,39,20,71
2020-06-07,,,0,0,0,39,20,71
2020-06-08,,,0,0,0,39,20,71
2020-06-09,,,0,0,0,39,20,71
2020-06-10,,,0,0,0,39,20,71
2020-06-11,,,0,0,0,39,20,71
2020-06-12,,,0,0,0,39,20,71
2020-06-13,,,0,0,0,39,20,71
2020-06-14,,,0,0,0,39,20,71
2020-06-15,,,0,0,0,39,20,71
2020-06-16,,,0,0,0,39,20,71
2020-06-17,,,0,0,0,39,20,71
2020-06-18,,,0,0,0,39,20,71
2020-06-19,,,0,0,0,39,20,71
2020-06-20,,,0,0,0,39,20,71
2020-06-21,,,0,0,0,39,20,71
2020-06-22,,,0,0,0,39,20,71
2020-06-23,,,0,0,0,39,20,71
2020-06-24,,,0,0,0,39,20,71
2020-06-25,,,0,0,0,39,20,71
2020-06-26,,,0,0,0,39,20,71
2020-06-27,,,0,0,0,39,20,71
2020-06-28,,,0,0,0,39,20,71
2020-06-29,,,0,0,0,39,20,71
2020-06-30,,,0,0,0,39,20,71
