date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-02-17,,,,,,,,,206,150,250,206,150,250,206,150,250
2020-02-18,,,,,,,,,206,150,250,413,300,500,413,300,500
2020-02-19,,,,,,,,,206,150,250,619,450,750,619,450,750
2020-02-20,,,,,,,,,206,150,250,825,600,1000,825,600,1000
2020-02-21,,,,,,,,,206,150,250,1032,750,1250,1032,750,1250
2020-02-22,,,,,,,,,206,150,250,1238,900,1500,1238,900,1500
2020-02-23,,,,,,,,,206,150,250,1444,1050,1750,1444,1050,1750
2020-02-24,,,,,,,,,206,150,250,1651,1200,2000,1651,1200,2000
2020-02-25,,,,,,,,,206,150,250,1857,1350,2250,1857,1350,2250
2020-02-26,,,,,,,,,636,419,887,2493,1769,3137,2493,1769,3137
2020-02-27,,,,,,,,,633,418,881,3126,2188,4017,3126,2188,4017
2020-02-28,,,,,,,,,676,441,952,3801,2630,4969,3801,2630,4969
2020-02-29,,,,,,,,,762,488,1098,4564,3119,6067,4564,3119,6067
2020-03-01,,,,,,,,,942,586,1399,5506,3705,7466,5506,3705,7466
2020-03-02,,,,,,,,,1220,738,1859,6726,4444,9325,6726,4444,9325
2020-03-03,,,,,,,,,1440,859,2205,7960,5153,11280,8166,5303,11530
2020-03-04,,,,,,,,,1638,966,2514,9391,5969,13543,9804,6269,14043
2020-03-05,,,,,,,,,1878,1094,2911,11063,6914,16203,11682,7364,16953
2020-03-06,,,,,,,,,2164,1251,3354,13020,8016,19307,13846,8616,20307
2020-03-07,,,,,,,,,2505,1448,3836,15319,9314,22892,16351,10064,24142
2020-03-08,,,,,,,,,2835,1652,4150,17947,10817,26791,19185,11717,28291
2020-03-09,,,,,,,,,3135,1858,4536,20876,12525,31077,22320,13575,32827
2020-03-10,,,,,,,,,3414,2082,4827,24084,14458,35653,25734,15658,37653
2020-03-11,,,,,,,,,3671,2384,5067,27548,16692,40470,29405,18042,42720
2020-03-12,1,1,,,,,,,3896,2658,5354,30808,18930,44936,33301,20700,48073
2020-03-13,0,1,,,,,,,4066,2812,5479,34241,21324,49534,37367,23512,53551
2020-03-14,0,1,,,,,,,4169,2922,5651,37735,23805,54233,41536,26435,59202
2020-03-15,0,1,,,,,,,4208,2954,5685,41180,26271,58820,45744,29390,64887
2020-03-16,2,3,,,,,,,4192,2911,5697,44430,28596,63117,49936,32302,70583
2020-03-17,0,3,,,,,,,4130,2839,5676,47340,30697,66934,54066,35141,76258
