date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-18,,,,,,,,,53,25,75,53,25,75,53,25,75,1.24441007914
2020-02-19,,,,,,,,,53,25,75,106,50,150,106,50,150,1.24422301041
2020-02-20,,,,,,,,,53,25,75,159,75,225,159,75,225,1.24418160137
2020-02-21,,,,,,,,,53,25,75,212,100,300,212,100,300,1.24413102836
2020-02-22,,,,,,,,,53,25,75,266,125,375,266,125,375,1.24406926444
2020-02-23,,,,,,,,,53,25,75,319,150,450,319,150,450,1.24399383482
2020-02-24,,,,,,,,,53,25,75,372,175,525,372,175,525,1.24390171815
2020-02-25,,,,,,,,,53,25,75,425,200,600,425,200,600,1.2437892261
2020-02-26,,,,,,,,,53,25,75,478,225,675,478,225,675,1.24365185659
2020-02-27,,,,,,,,,116,59,165,594,284,840,594,284,840,1.24339768314
2020-02-28,,,,,,,,,115,59,165,710,344,1005,710,344,1005,1.24318207373
2020-02-29,,,,,,,,,119,61,169,828,406,1173,828,406,1173,1.24290817646
2020-03-01,,,,,,,,,126,66,179,954,472,1352,954,472,1352,1.24257917111
2020-03-02,,,,,,,,,140,76,200,1094,548,1552,1094,548,1552,1.2421820823
2020-03-03,,,,,,,,,163,90,233,1257,639,1784,1257,639,1784,1.24170126608
2020-03-04,,,,,,,,,180,102,257,1384,717,1965,1437,742,2040,1.24111697116
2020-03-05,,,,,,,,,193,111,275,1524,803,2164,1630,853,2314,1.24040537733
2020-03-06,,,,,,,,,207,121,294,1678,899,2383,1837,974,2608,1.23954074847
2020-03-07,,,,,,,,,222,132,316,1847,1007,2623,2059,1107,2923,1.23849094181
2020-03-08,,,,,,,,,241,147,342,2034,1129,2890,2300,1254,3265,1.2372154133
2020-03-09,,,,,,,,,260,161,369,2241,1266,3183,2560,1416,3633,1.23566443623
2020-03-10,,,,,,,,,278,176,394,2466,1417,3501,2838,1592,4026,1.2337765299
2020-03-11,,,,,,,,,296,191,419,2709,1584,3845,3134,1784,4445,1.23147685516
2020-03-12,,,,,,,,,315,206,445,2971,1766,4214,3449,1991,4889,1.22867308681
2020-03-13,1,1,,,,,,,335,224,472,3190,1930,4521,3785,2215,5361,1.22525049709
2020-03-14,0,1,,,,,,,356,242,501,3431,2112,4857,4140,2457,5861,1.22106647915
2020-03-15,0,1,,,,,,,377,260,531,3689,2311,5219,4517,2718,6392,1.21594461039
2020-03-16,0,1,,,,,,,398,279,564,3961,2525,5604,4915,2998,6955,1.20966992292
2020-03-17,0,1,,,,,,,418,299,598,4239,2748,6002,5333,3297,7553,1.20198823409
2020-03-18,0,1,,,,,,,439,319,630,4515,2977,6400,5772,3617,8183,1.19261549919
2020-03-19,0,1,,,,,,,459,340,657,4794,3215,6800,6231,3957,8840,1.18126503398
2020-03-20,0,1,,,,,,,478,360,677,5079,3465,7202,6709,4318,9516,1.1676975297
2020-03-21,1,2,,,,,,,496,380,701,5368,3724,7609,7205,4699,10216,1.15178790705
