date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-09,,,,,,,,,149,50,250,149,50,250,149,50,250,1.6215967777
2020-02-10,,,,,,,,,149,50,250,299,100,500,299,100,500,1.62150254582
2020-02-11,,,,,,,,,149,50,250,448,150,750,448,150,750,1.62148168402
2020-02-12,,,,,,,,,149,50,250,597,200,1000,597,200,1000,1.62145620404
2020-02-13,,,,,,,,,149,50,250,746,250,1250,746,250,1250,1.62142508374
2020-02-14,,,,,,,,,149,50,250,896,300,1500,896,300,1500,1.62138707484
2020-02-15,,,,,,,,,149,50,250,1045,350,1750,1045,350,1750,1.62134065291
2020-02-16,,,,,,,,,149,50,250,1194,400,2000,1194,400,2000,1.62128395637
2020-02-17,,,,,,,,,149,50,250,1344,450,2250,1344,450,2250,1.621214712
2020-02-18,,,,,,,,,375,139,600,1718,589,2850,1718,589,2850,1.62110734281
2020-02-19,,,,,,,,,373,139,598,2091,729,3448,2091,729,3448,1.62100121332
2020-02-20,,,,,,,,,388,146,619,2479,876,4067,2479,876,4067,1.62086788137
2020-02-21,,,,,,,,,421,162,666,2900,1038,4732,2900,1038,4732,1.62070668016
2020-02-22,,,,,,,,,489,194,762,3390,1233,5493,3390,1233,5493,1.62051110657
2020-02-23,,,,,,,,,595,245,912,3985,1478,6404,3985,1478,6404,1.62027329988
2020-02-24,,,,,,,,,676,285,1025,4512,1714,7179,4661,1764,7429,1.61998337945
2020-02-25,,,,,,,,,745,320,1116,5107,1984,8045,5406,2084,8545,1.61962939354
2020-02-26,,,,,,,,,824,363,1219,5781,2297,9014,6229,2447,9764,1.61919814006
2020-02-27,,,,,,,,,916,415,1337,6548,2662,10100,7145,2862,11100,1.61867318241
2020-02-28,,,,,,,,,1033,480,1484,7432,3093,11333,8179,3343,12583,1.61803393973
2020-02-29,,,,,,,,,1156,551,1635,8439,3595,12718,9334,3895,14218,1.61725528263
2020-03-01,,,,,,,,,1281,626,1786,9570,4171,14253,10615,4521,16003,1.61630641643
2020-03-02,,,,,,,,,1415,708,1942,10836,4830,15945,12030,5230,17945,1.61515020196
2020-03-03,,,,,,,,,1563,803,2111,12250,5583,17805,13593,6033,20055,1.61374136055
2020-03-04,1,1,,,,,,,1731,911,2298,13606,6354,19503,15324,6944,22353,1.61202439931
2020-03-05,0,1,,,,,,,1915,1032,2500,15148,7248,21405,17239,7977,24852,1.60993125954
2020-03-06,0,1,,,,,,,2113,1166,2712,16873,8267,23497,19353,9143,27564,1.60737834562
2020-03-07,0,1,,,,,,,2328,1313,2936,18780,9418,25767,21680,10457,30499,1.60426282257
2020-03-08,0,1,,,,,,,2561,1477,3175,20852,10701,28180,24242,11935,33673,1.60045765729
2020-03-09,0,1,,,,,,,2817,1660,3431,23075,12116,30700,27059,13595,37104,1.59580519361
2020-03-10,1,2,,,,,,,3096,1862,3707,25494,13694,33382,30155,15458,40810,1.59010920366
2020-03-11,2,4,,,,,,,3397,2084,4045,28147,15457,36310,33552,17542,44855,1.58312557355
2020-03-12,0,4,,,,,,,3720,2323,4467,31043,17418,39558,37272,19866,49321,1.57455282207
