date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-03-01,,,,,,,,,116,50,150,116,50,150,116,50,150,1.87671063016
2020-03-02,,,,,,,,,116,50,150,232,100,300,232,100,300,1.87120862388
2020-03-03,,,,,,,,,116,50,150,349,150,450,349,150,450,1.86999045913
2020-03-04,,,,,,,,,116,50,150,465,200,600,465,200,600,1.86850230615
2020-03-05,,,,,,,,,116,50,150,581,250,750,581,250,750,1.86668403673
2020-03-06,,,,,,,,,116,50,150,697,300,900,697,300,900,1.86446188348
2020-03-07,,,,,,,,,116,50,150,814,350,1050,814,350,1050,1.86174515839
2020-03-08,,,,,,,,,116,50,150,930,400,1200,930,400,1200,1.85842206245
2020-03-09,,,,,,,,,116,50,150,1046,450,1350,1046,450,1350,1.85435428403
2020-03-10,,,,,,,,,325,149,462,1371,599,1812,1371,599,1812,1.84929050559
2020-03-11,,,,,,,,,323,148,456,1693,747,2268,1693,747,2268,1.84316564969
2020-03-12,,,,,,,,,339,157,482,2033,905,2749,2033,905,2749,1.83562334368
2020-03-13,,,,,,,,,375,176,536,2408,1081,3285,2408,1081,3285,1.82634538069
2020-03-14,,,,,,,,,448,215,650,2855,1296,3935,2855,1296,3935,1.8149099683
2020-03-15,,,,,,,,,561,275,829,3416,1572,4764,3416,1572,4764,1.80079901507
2020-03-16,,,,,,,,,646,323,968,3946,1845,5582,4063,1895,5732,1.78339454054
2020-03-17,,,,,,,,,718,366,1088,4549,2161,6520,4781,2261,6820,1.76200454366
2020-03-18,,,,,,,,,802,418,1228,5234,2529,7597,5583,2679,8047,1.73593834517
2020-03-19,,,,,,,,,899,482,1388,6017,2962,8835,6482,3162,9435,1.70462613355
2020-03-20,,,,,,,,,1015,562,1572,6915,3474,10257,7497,3724,11007,1.6677849693
2020-03-21,,,,,,,,,1126,646,1736,7925,4071,11842,8622,4371,12742,1.62556846121
2020-03-22,,,,,,,,,1227,733,1877,9036,4754,13569,9849,5104,14619,1.5786181888
2020-03-23,,,,,,,,,1324,826,1965,10243,5531,15384,11173,5931,16584,1.52798893141
2020-03-24,,,,,,,,,1419,882,2119,11546,6363,17352,12592,6813,18702,1.47498532207
2020-03-25,2,2,,,,,,,1513,984,2220,12735,7198,19110,14106,7797,20921,1.42099409536
2020-03-26,1,3,,,,,,,1600,1075,2276,14012,8125,20929,15706,8873,23196,1.36736380068
2020-03-27,1,4,,,,,,,1676,1154,2331,15349,9121,22778,17382,10027,25527,1.31533510916
2020-03-28,1,5,,,,,,,1742,1215,2414,16717,10161,24655,19124,11243,27940,1.26600061723
