date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-05,0,0,,,,,,,101,50,150,101,50,150,101,50,150,2.25643621328
2020-02-06,0,0,,,,,,,101,50,150,203,99,300,202,100,300,2.25523969861
2020-02-07,0,0,,,,,,,101,50,150,304,150,450,303,150,450,2.25504653194
2020-02-08,0,0,,,,,,,101,50,150,406,199,600,404,200,600,2.25482225699
2020-02-09,0,0,,,,,,,253,114,386,659,332,968,657,314,986,2.25456188768
2020-02-10,0,0,,,,,,,253,114,386,912,452,1348,910,428,1372,2.25425964575
2020-02-11,0,0,,,,,,,253,114,386,1165,570,1730,1163,542,1758,2.25390883665
2020-02-12,0,0,,,,,,,253,114,386,1418,687,2113,1416,656,2144,2.25350170654
2020-02-13,0,0,,,,,,,390,190,610,1807,899,2701,1806,846,2754,2.25302927724
2020-02-14,0,0,,,,,,,540,284,810,2348,1190,3504,2346,1130,3564,2.25246549258
2020-02-15,0,0,,,,,,,733,417,1076,3081,1629,4557,3079,1547,4640,2.2518276994
2020-02-16,0,0,,,,,,,757,434,1106,3838,2072,5650,3836,1981,5746,2.25108390924
2020-02-17,0,0,,,,,,,2193,1350,2955,6031,3577,8525,6029,3331,8701,2.25022241495
2020-02-18,0,0,,,,,,,2517,1559,3394,8548,5179,11888,8546,4890,12095,2.24922410832
2020-02-19,0,0,,,,,,,2996,1936,3957,11544,7153,15807,11542,6826,16052,2.24806696297
2020-02-20,0,0,,,,,,,3093,2005,4074,14536,9115,19722,14635,8831,20126,2.24672502612
2020-02-21,0,0,,,,,,,3507,2281,4556,17942,11366,24102,18142,11112,24682,2.24516830281
2020-02-22,0,0,,,,,,,4365,2908,5628,22205,14254,29543,22507,14020,30310,2.24336386697
2020-02-23,0,0,,,,,,,5178,3479,6574,27281,17732,35912,27685,17499,36884,2.24127292033
2020-02-24,0,0,,,,,,,6167,4158,7890,33195,21814,43371,33852,21657,44774,2.23884948608
2020-02-25,0,0,,,,,,,7103,4918,8988,40045,26665,51930,40955,26575,53762,2.23603975793
2020-02-26,0,0,,,,,,,11212,7365,14359,51004,33974,65743,52167,33940,68121,2.23278041554
2020-02-27,0,0,,,,,,,11677,7716,14972,62428,41592,80279,63844,41656,83093,2.22899739321
2020-02-28,0,0,,,,,,,13526,9020,17471,75565,50420,97099,77370,50676,100564,2.22460250973
2020-02-29,1,1,,,,,,,15297,10097,19979,90322,60209,116207,92667,60773,120543,2.21948938808
2020-03-01,0,1,,,,,,,19068,12443,25158,108657,72232,140155,111735,73216,145701,2.21352847578
2020-03-02,5,6,,,,,,,24376,15681,32674,132276,87500,171541,136111,88897,178375,2.20656025204
2020-03-03,1,7,,,,,,,29763,19224,40252,159846,105422,208663,165874,108121,218627,2.19838610086
2020-03-04,4,11,,,,,,,35240,22601,48212,192568,126519,253346,201114,130722,266839,2.18875551141
2020-03-05,1,12,,,,,,,42811,27350,59235,232383,152017,308516,243925,158072,326074,2.17734910867
2020-03-06,2,14,,,,,,,51234,32344,72185,280524,182466,376543,295159,190416,398259,2.16375737211
2020-03-07,3,17,,,,,,,61582,38423,87732,338599,218707,459639,356741,228839,485991,2.1474554259
2020-03-08,4,21,,,,,,,73099,45210,103673,407333,261092,557680,429840,274049,589664,2.12777647658
