date,Country_Region,Confirmed,Deaths,daily_deaths,daily_confirmed,daily_confirmed_7day_ma,daily_deaths_7day_ma
2020-01-22,Malta,0,0,0.0,0.0,0.0,0.0
2020-01-23,Malta,0,0,0.0,0.0,0.0,0.0
2020-01-24,Malta,0,0,0.0,0.0,0.0,0.0
2020-01-25,Malta,0,0,0.0,0.0,0.0,0.0
2020-01-26,Malta,0,0,0.0,0.0,0.0,0.0
2020-01-27,Malta,0,0,0.0,0.0,0.0,0.0
2020-01-28,Malta,0,0,0.0,0.0,0.0,0.0
2020-01-29,Malta,0,0,0.0,0.0,0.0,0.0
2020-01-30,Malta,0,0,0.0,0.0,0.0,0.0
2020-01-31,Malta,0,0,0.0,0.0,0.0,0.0
2020-02-01,Malta,0,0,0.0,0.0,0.0,0.0
2020-02-02,Malta,0,0,0.0,0.0,0.0,0.0
2020-02-03,Malta,0,0,0.0,0.0,0.0,0.0
2020-02-04,Malta,0,0,0.0,0.0,0.0,0.0
2020-02-05,Malta,0,0,0.0,0.0,0.0,0.0
2020-02-06,Malta,0,0,0.0,0.0,0.0,0.0
2020-02-07,Malta,0,0,0.0,0.0,0.0,0.0
2020-02-08,Malta,0,0,0.0,0.0,0.0,0.0
2020-02-09,Malta,0,0,0.0,0.0,0.0,0.0
2020-02-10,Malta,0,0,0.0,0.0,0.0,0.0
2020-02-11,Malta,0,0,0.0,0.0,0.0,0.0
2020-02-12,Malta,0,0,0.0,0.0,0.0,0.0
2020-02-13,Malta,0,0,0.0,0.0,0.0,0.0
2020-02-14,Malta,0,0,0.0,0.0,0.0,0.0
2020-02-15,Malta,0,0,0.0,0.0,0.0,0.0
2020-02-16,Malta,0,0,0.0,0.0,0.0,0.0
2020-02-17,Malta,0,0,0.0,0.0,0.0,0.0
2020-02-18,Malta,0,0,0.0,0.0,0.0,0.0
2020-02-19,Malta,0,0,0.0,0.0,0.0,0.0
2020-02-20,Malta,0,0,0.0,0.0,0.0,0.0
2020-02-21,Malta,0,0,0.0,0.0,0.0,0.0
2020-02-22,Malta,0,0,0.0,0.0,0.0,0.0
2020-02-23,Malta,0,0,0.0,0.0,0.0,0.0
2020-02-24,Malta,0,0,0.0,0.0,0.0,0.0
2020-02-25,Malta,0,0,0.0,0.0,0.0,0.0
2020-02-26,Malta,0,0,0.0,0.0,0.0,0.0
2020-02-27,Malta,0,0,0.0,0.0,0.0,0.0
2020-02-28,Malta,0,0,0.0,0.0,0.0,0.0
2020-02-29,Malta,0,0,0.0,0.0,0.0,0.0
2020-03-01,Malta,0,0,0.0,0.0,0.0,0.0
2020-03-02,Malta,0,0,0.0,0.0,0.0,0.0
2020-03-03,Malta,0,0,0.0,0.0,0.0,0.0
2020-03-04,Malta,0,0,0.0,0.0,0.0,0.0
2020-03-05,Malta,0,0,0.0,0.0,0.0,0.0
2020-03-06,Malta,0,0,0.0,0.0,0.0,0.0
2020-03-07,Malta,3,0,0.0,3.0,0.42857142857142855,0.0
2020-03-08,Malta,3,0,0.0,0.0,0.42857142857142855,0.0
2020-03-09,Malta,3,0,0.0,0.0,0.42857142857142855,0.0
2020-03-10,Malta,5,0,0.0,2.0,0.7142857142857143,0.0
2020-03-11,Malta,6,0,0.0,1.0,0.8571428571428571,0.0
2020-03-12,Malta,6,0,0.0,0.0,0.8571428571428571,0.0
2020-03-13,Malta,12,0,0.0,6.0,1.7142857142857142,0.0
2020-03-14,Malta,18,0,0.0,6.0,2.142857142857143,0.0
2020-03-15,Malta,21,0,0.0,3.0,2.5714285714285716,0.0
2020-03-16,Malta,30,0,0.0,9.0,3.857142857142857,0.0
2020-03-17,Malta,38,0,0.0,8.0,4.714285714285714,0.0
2020-03-18,Malta,38,0,0.0,0.0,4.571428571428571,0.0
2020-03-19,Malta,53,0,0.0,15.0,6.714285714285714,0.0
2020-03-20,Malta,64,0,0.0,11.0,7.428571428571429,0.0
